.\gitmap\archive\source.go|153|raw error return|func downloadWithAria2c(ctx context.Context, rawURL, dir, name string) error {
.\gitmap\archive\source.go|179|raw error return|func downloadWithHTTP(ctx context.Context, rawURL, dst string) error {
.\gitmap\archive\source.go|191|fmt.Errorf|return fmt.Errorf("http %s", resp.Status)
.\gitmap\archive\source.go|198|swallowed error|_, err = io.Copy(out, resp.Body)
.\gitmap\archive\source.go|221|raw error return|func resolveGit(ctx context.Context, raw string) (ResolvedSource, error) {
.\gitmap\archive\source.go|233|fmt.Errorf|return ResolvedSource{Original: raw}, fmt.Errorf("git clone %q: %w", raw, err)
.\gitmap\archive\source.go|243|raw error return|func AutoDetectSingleArchive(dir string) (string, error) {
.\gitmap\archive\source.go|264|fmt.Errorf|return "", fmt.Errorf("no archive in %s", abs)
.\gitmap\archive\source.go|268|fmt.Errorf|return "", fmt.Errorf("found %d archives in %s", len(found), abs)
.\gitmap\cliexit\cliexit.go|103|raw error return|func Reportf(command, op, subject string, err error) {
.\gitmap\cliexit\cliexit.go|111|raw error return|func Fail(command, op, subject string, err error, code int) {
.\gitmap\cliexit\cliexit.go|129|raw error return|func writeReport(w io.Writer, command, op, subject string, err error) {
.\gitmap\cliexit\cliexit.go|145|raw error return|func formatLine(command, op, subject string, err error) string {
.\gitmap\cloneconcurrency\resolve.go|30|bare bool return|func Resolve(n int) (int, bool) {
.\gitmap\clonefrom\depthflag_format_test.go|94|bare bool return|func containsTok(args []string, tok string) bool {
.\gitmap\clonefrom\execute.go|93|bare bool return|func prepareAndClone(r Row, dest, absDest, cwd string) (string, bool) {
.\gitmap\clonefrom\execute.go|115|bare bool return|func runGitClone(r Row, dest, cwd string) (string, bool) {
.\gitmap\clonefrom\execute.go|124|raw error return|func execGitClone(r Row, dest, cwd string) ([]byte, error) {
.\gitmap\clonefrom\execute.go|131|raw error return|func handleGitCloneError(dest, outputStr string, err error) (string, bool) {
.\gitmap\clonefrom\execute.go|131|bare bool return|func handleGitCloneError(dest, outputStr string, err error) (string, bool) {
.\gitmap\clonefrom\execute.go|139|raw error return|func tryLfsAutoFix(dest, file, outputStr string, originalErr error) (string, bool) {
.\gitmap\clonefrom\execute.go|139|bare bool return|func tryLfsAutoFix(dest, file, outputStr string, originalErr error) (string, bool) {
.\gitmap\clonefrom\execute.go|149|raw error return|func applyLfsFix(dest, file, outputStr string, originalErr error) (string, bool) {
.\gitmap\clonefrom\execute.go|149|bare bool return|func applyLfsFix(dest, file, outputStr string, originalErr error) (string, bool) {
.\gitmap\clonefrom\execute.go|207|raw error return|func trimGitError(stderr string, err error) string {
.\gitmap\clonefrom\execute.go|216|raw error return|func extractLastStderrLine(stderr string, err error) string {
.\gitmap\clonefrom\execute_checkout.go|53|bare bool return|func runPostCloneCheckout(r Row, dest, cwd string) (string, bool) {
